papers,HYPOTHESIS
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c730d9c6573234b0e8b2ef57f0e69f5adbf58d63.summary'],Does the presence of specific microbiota in the benign lymph node microenvironment influence the expression of PD-L1 on macrophages and subsequent response to immunotherapy?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/256590d39942e91b446da3c6709e1e02fc4da2dc.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/747a201617b5863921a6649fdf7bf0f22d4c305a.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c11a0aefca156eab30b7cc7bd60605c59293f8c7.summary']","Does the Gαi signaling pathway regulate the expression of NOTCH2 in splenic marginal zone lymphoma, leading to a potential therapeutic target for personalized treatment?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/391d0d699115702b3addb6e445bd18e45e5202a2.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/df3ad4f69dfeeb809723cf297ceb2a9a40209869.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c56f154dc6ed145d1324fc75f94a7246e3d47ec5.summary']","Does the inhibition of Bruton's tyrosine kinase in marginal zone B cells also prevent the epigenetic silencing of tumor suppressor genes, such as TGFBI, thereby reducing the risk of lymphoma development in response to environmental toxins like aflatoxin B1?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0002be930ce135aae242cb73345dce5c785d8f72.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/4ca3b2906b504bed5680d9d6c32d9237ea628fb5.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0a5785708015fa7d1d5d09313a45360951a1f4e8.summary']",Does simultaneous inhibition of BRD4 and VLA-4 lead to enhanced therapeutic efficacy in mantle cell lymphoma by disrupting both B-cell receptor signaling and integrin-mediated cell adhesion and activation?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/886d04cab02764b00b873885aeb7621a3a4fac24.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c5ac0fbb4f1953c48b17e2212bd700bd9da6f88b.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/156bbf76b7c4a8eff8d5ca3411c32b81eb27ad9a.summary']",Can extracellular vesicle-derived microRNAs from diffuse large B-cell lymphoma patients regulate B cell receptor signal transduction and contribute to the development of central nervous system lymphoma?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d4a3a703950c7ff3dd5ed7d4f524b4bcb98d4ad5.summary'],"Does the abortive lytic infection-mediated establishment of Epstein-Barr virus latency in B-cells also induce a transient immune tolerance to viral antigens, thereby facilitating the persistence of latently infected cells?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/175d188342f5420eabc37c0c86b5758d72f4eaf3.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/87447edf83668ec55a88fb6c1cdb53cc357a5303.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/4145db09dabc34df5b03f3f434716b377ae0a562.summary']","Does Fes-mediated phosphorylation of Dok1 regulate the activity of Lyn, thereby influencing ROR1 surface dynamics and chemotaxis in B-cells?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/036fd1fdb2eb0f49cb17d568dd5ce179ba50003d.summary'],Does the incorporation of a toll-like receptor agonist into the multivalent antigen array enhance its therapeutic efficacy in experimental autoimmune encephalomyelitis by promoting the induction of regulatory B cells?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0e453fea5982861c1de4a8da95ceb55270e3240e.summary'],Can the incorporation of SIRPα-based CARs with additional immune checkpoint inhibitors enhance their anti-tumor activity and reduce side effects in B-cell acute lymphoblastic leukemia treatment?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0e4658293ab2adc57f63d50b9014d1308841f429.summary'],"Can the Sgc8-c aptamer be modified to target specific lymphoma subtypes by incorporating subtype-specific peptides, leading to enhanced therapeutic efficacy and reduced off-target effects?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/7cac85575b166c1dff01a42c98d5dcbbf815a186.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/152962205a0b362a2568b5b61b3c8bc72c0208a2.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d6c4c2850b4022c2ecb8c3702a361fd6782c828d.summary']",Does the sequential exposure of B cells to malaria-induced interferon-γ and TLR9 agonists enhance the generation of atypical memory B cells with improved humoral immunity against malaria?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0a31ad892ec2a20e5093684ecb0d476b7ddeb402.summary'],"Do metallothioneins play a crucial role in regulating the selective induction of apoptosis in DLBCL cells by ZnO nanoparticles through their ability to bind and sequester zinc ions, thereby modulating the oxidative stress response?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/79a47dbe38ff1d96a32feb97ecbb979027df87d3.summary'],Does bryostatin-induced epigenetic modulation of pre-B ALL cells lead to the expression of specific microRNAs that regulate the ligands responsible for CAR-T cell antigen-non-specific killing and NK-like killing?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1dc2dbcc8cd49258241d6afe8b53a0abd371b6ca.summary'],"Does LMBR1L also regulate the expression of Wnt/β-catenin target genes involved in lymphocyte migration and homing, thereby influencing lymphocyte trafficking and immune responses?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/266a5cacb862ad2c399aab82b896ec015ec96e13.summary'],Does the presence of post-activated B cells with a specific CD40-mediated functiotype in axial spondyloarthritis patients predict a higher risk of radiographic progression and fracture incidence?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d497ff2b7c527d6eca0b5ec194fe9c4bcfd43af9.summary'],"Does the inhibition of miR155 in RA patients also enhance the responsiveness of M2 macrophages to anti-inflammatory cytokines, leading to a synergistic reduction in inflammation?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/20e8b0f584e3423fcfbd3f1d3242ee7f0df9251c.summary'],"Does the inhibition of JAK2/STAT3 signaling pathway in DLBCL cells lead to a decrease in the expression of other immune checkpoint molecules beyond PD-L1, such as LAG-3 and TIM-3, and enhance the anti-tumor activity of immunotherapy?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/9d2eac6e1ab1a135b44aebea55dbc506a8bba5ce.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c39a7d2e53824610191e93370cf79ef1735d89f7.summary']","Can the mechanical forces generated by cell surface receptors be modulated by altering the local concentration of PI(4,5)P2 in the plasma membrane, and can this modulation be visualized and measured using molecular tension fluorescence microscopy probes?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/fc960faf0a645c58095027d60765820e64fbc8dd.summary'],"Can RNA-based IGH sequencing detect B cell clones at 10-6 frequency from peripheral blood in patients with checkpoint blockade-treated cancer, and does this detection correlate with improved treatment outcomes?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/b16a244d366c6ec1b0d50e70db74597c8d322111.summary'],"Does inhibition of LIMK also sensitize BCR::ABL- acute lymphoblastic leukemia cells to chemotherapy by disrupting the ROCK-LIMK-cofilin axis, leading to increased apoptosis and reduced cell proliferation?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/04391cc8e916a18b2c69c0e5d0f130204897c465.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/02cba02b61539e6cc7fb8180439288f721e6dd49.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/546e2f31c13b308d3d3afc154753664d81129177.summary']","Does the cell-specific expression of transposable elements in immune cells influence the development of autoreactive B cell subsets in systemic lupus erythematosus, leading to the production of pathogenic autoantibodies?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/04a6e82855d95d8a492333b8a0704808ac0602ca.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/88315387e0b33751ba595ef0b8f12be0ac5cc16f.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/5c771fe8893543666bd83b106eeff607f21a8416.summary']",Does the expression of type I IFN and fibrosis pathway genes in autoreactive B cells predict their ability to participate in germinal centers and produce high-affinity antibodies in proliferative lupus nephritis?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/7f0e8216bcdf654e8bc5680393ddd93dab2599d9.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/113f32b0b3f8a00009532c4d5c17fc6d20a5615d.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/6b7a243d25122b087c4ecd55b618f4ca84057ad0.summary']",Does the interaction between APOL1 risk variants and interferon signature in bone marrow mesenchymal stem cells contribute to the development of renal damage in systemic lupus erythematosus patients?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/53782609701cd132ec9348424b873ca8b87d8a92.summary'],Do the hub genes identified in SLE T and B cells also play a role in the regulation of viral latency and reactivation in SLE patients?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/32a5f583e95831370981893186aa11c1c9d6b9dd.summary'],"Can the adenoviral vector-based platform be optimized to induce a balanced Th1/Th2 response by modulating the ratio of ICOSL to CD40L costimulatory ligands, leading to enhanced protection against infectious diseases?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ce334241945cfd3753e93a32ab7dc15241fdc9ba.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/95ad2025b77413dc9f46b99d87a8b0cf64c7c54c.summary']","Does the heterogeneous B cell immune response in acute Borreliosis patients influence the efficacy of TNF inhibitor treatment in rheumatoid arthritis patients, leading to variations in B cell receptor diversity and immune repertoire modulation?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/17c7f460cf9dd8f9b9fe6fc87741e908923ebe62.summary'],Does the upregulation of the NF-κB signaling pathway in CD19.CAR-T cells enhance their resistance to apoptosis and improve their anti-tumor activity when combined with COX inhibitors?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/846784cb1b387d59f4a053e2bb52d555ad9675ad.summary'],Can the anti-tumor effects of CAR T cells targeting mHsp70 be further enhanced by preconditioning the tumor microenvironment with low-dose chemotherapy to increase mHsp70 expression on tumor cells?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/667bd85d2ff7652b626f75f6c50d15715ba56b62.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ac1e6dc239c4e840ff984f1a8f63eb85b183b5fd.summary']",Does the timing of class switch recombination during B cell maturation influence the responsiveness of B cells to TLR7/8 stimulation and subsequent antibody affinity maturation?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d5f42d7303ee5e90833fe187282b26146bc104e6.summary'],"Does the dysregulation of miR-150-5p in Myasthenia Gravis patients also affect the expression of other microRNAs involved in T cell homeostasis, leading to a broader disruption of the immune system?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/62c1c06b9d1fb19f2db11246d64dde3b5c8991c2.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/63d00173a783403e15d5c9b8c2edefddff8dfaf5.summary']",Does the presence of alpha 2 macroglobulin-IgG-hexamers in the sera of patients with B-cell malignancies treated with rituximab affect the efficacy of rituximab by reducing the activity of the complement system and thereby influencing treatment outcome?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/85829918f32c03af406652b8482362219f117de9.summary'],Can the specific gene expression modules identified in muscle tissue be used to predict the distribution and kinetics of lymph node activation in response to different vaccines?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2f739ec033515ea8d1d7bb7f49eaee7a528cd865.summary'],Can the simultaneous tracking of alloreactive T and B cells using peptide-MHC complex multimers and antigen receptor transgenic lymphocytes predict the likelihood of allograft rejection more accurately than tracking either cell type alone?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/32902954baf1222733fb3add80a2b6517c326c27.summary'],"Does the overexpression of BOB.1 in B cells also induce the production of pro-inflammatory cytokines, which in turn contribute to the development of autoimmune diseases by creating a self-reinforcing feedback loop?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/cb5fa833a228807c38ccdd3c07254d2b3906d4c7.summary'],"Does LNC000093-mediated regulation of RUNX1 expression also influence the DNA repair machinery, leading to increased genomic instability and contributing to TKI resistance in CML?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ee148c4ab3b1f721cc625f766ca26c24dd556813.summary'],Can the combination of bispecific antibodies targeting CD40 and tumor-associated antigens with checkpoint inhibitors enhance the anti-tumor response by increasing the diversity of tumor-targeting T cells and promoting the formation of long-lived memory T cells?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d00b0c28f7b005b1c325249d864c8587907f457d.summary'],Can the noninvasive detection of glomerulonephritis using NIRF-based optical imaging be improved by incorporating machine learning algorithms that integrate single-cell transcriptomic data to identify specific patterns of stress response genes and regulatory pathway perturbations in antinuclear antibody positive individuals?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/4a2ec9ef032927ceb475ca3b7118801c7e64fa19.summary'],Does the simultaneous downregulation of miR-181a and upregulation of miR-155 in Acute Lymphoblastic Leukaemia cells lead to the development of resistance to chemotherapy through the activation of the p53 signalling pathway and subsequent upregulation of H3F3A?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0da0069e84ed549f728098d73f8a31ea38c2492f.summary'],"Do atypical memory B cells in AML patients also modulate the function of natural killer cells, leading to impaired anti-tumor responses?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/89abb6ff4e3f6f6dff1641bc600088c81866eaba.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1f88957bc2ea33119f21eb634b3400a46a74c0a5.summary']",Can machine vision-based analysis of patient-derived tumor organoids treated with protein-based therapies identify specific patterns of tumor cell killing and immune cell activity that are predictive of therapeutic response and correlated with specific genetic mutations in the tumor?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/9beec80d1eac382f0427807cacfe24a25db374b7.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/f8f9ee8cf4553a0dcac921e0e713fb4c4592adf0.summary']","Do MuSK autoantibodies modulate the expression of neonatal Fc receptor on B cells, thereby influencing the pathogenesis of MuSK-positive Myasthenia Gravis?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/72712e5d1604c97b17687f71e9341ff5599dde4b.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/00166bc6e5e07f5e0831e0fa2234f522976f071d.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/040fcee9b9bbf827c923c37b071cd3ef87c90923.summary']","Does the combination of macrophage inhibition and CAR T cells targeting tumor-associated MUC1 glycoprotein enhance the formation of tertiary lymphoid structures and increase the infiltration of activated B cells and CD4+ T cells, leading to improved durable regression of triple negative breast cancer?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/289d6858f6196fb09d6dda785280a5837f254c83.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/07a29b3206efaa8059278e706a51c0e5d8d9163a.summary']","Does the co-expression of BTN3A2 and the 5 IRGs (CCL25, IL29, TDGF3, GPR44, and GREM2) in lung adenocarcinoma patients predict their response to immunotherapy and overall survival?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2a18ade4d1ea55188d0ea351b90e9cd86908ca53.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c867577ba94b228304ee0a09e5840cebf123f478.summary']",Does simultaneous inhibition of MALT1 and B-cell receptor signaling lead to enhanced suppression of MYC activity and improved therapeutic efficacy in mantle cell lymphoma?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/65d3dfebd679f1683e30dbbd2e0c77d2246b311c.summary'],"Does the Nrf2-Keap1 pathway play a critical role in regulating redox homeostasis in hematopoietic stem cells, and can its modulation enhance the efficacy of pro-oxidant therapy in acute lymphoblastic leukemia while minimizing oxidative damage to normal HSCs?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/eab3b21e9a4c1f614aa5844a015cc49814ea3ea6.summary'],"Can inhibition of CBL-B also enhance the activity of tumor-infiltrating dendritic cells, leading to increased antigen presentation and subsequent augmentation of anti-tumor immune responses?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/5f05ca3c1cb7544add86c99b3964ee8149a535ef.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1ffd7f77b4bb2805992648aabd10f2e8a0357923.summary']",Does simultaneous inhibition of canonical and non-canonical NF-kB signalling in both B cells and synovial cells lead to a synergistic reduction in disease severity and angiogenesis in rheumatoid arthritis patients?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/6d26b510867fe0479ed2aca452a55cd335550137.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/e3a7f8be155c8b515088c72c62800e037c465b4b.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/f98aaeb1ffacbb8a55426169c730bf359245a869.summary']","Does the spatial organization of the immunological synapse regulate the activity of Rac GEFs, such as DOCK2, to modulate B-cell activation and antibody production?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/016e09bcab17c48268024aac13b10f82f2c2444d.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/141778224422dc4bef33c1b75cb8d60e43cb1881.summary']","Does the regulation of mitochondrial function by Zfp318 in memory B cells influence the induction of αv-integrin-related non-canonical autophagy, thereby modulating the recallability of these cells?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/3d82be462c48576d9be7c0de01cc47cf3352b724.summary'],Does the combination of CD19-CD28 with CD20-targeted T cell bispecific antibodies enhance the formation of immunological synapses between T cells and cancer cells by increasing the expression of adhesion molecules on the surface of T cells?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/7dc456fcaa8c34e556fa0b74aaea2a8aaa79f09a.summary'],Does PLCG1-mediated RAS activation also play a critical role in the development of resistance to BCR-ABL1 and FLT3 tyrosine kinase inhibitors in CML and AML cells?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/3c615fb68ea4ca25eb1f1eb2c410ed794c174d64.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1bbd20f69b0cdd0ca0d22fd056433e1ca17ff914.summary']","Does the simultaneous knockout of TRAIL-R1 and TRAIL-R2 in B cells lead to increased expression of LUBAC, thereby promoting germinal center B cell survival and suppressing autoimmune disease development?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/4ebf9f1f99453bd43f67ea001205b161ba444e51.summary'],"Does the presence of specific glycosylation patterns on IgG antibodies targeting other platelet antigens, beyond HPA-1a, also influence their binding affinity to FcgRIIIa and contribute to the severity of FNAIT?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/95289b0dd38e5cb2fc17e4d24ee49cf897ba6bd9.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/41fed2fc222f4efe00eec3fe4f12c08f8e3aebfa.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/b114bfb532ec36c62d7cccf9f58f0b20cede79a9.summary']",Does the combination of anti-BCMA CAR-T cell therapy and radiation therapy enhance the durability of treatment response by reducing the rebound of sBCMA plasma levels and promoting the expansion of endogenous T-cells that recognize tumor antigens?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0b7110ed0551ee229bbbe43f2205942bfc773cfe.summary'],"Can the combination of CART-BCMA therapy with a Th1-polarizing adjuvant enhance the expansion and persistence of CART-BCMA cells, leading to improved clinical responses in patients with relapsed/refractory multiple myeloma?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/59b0a20e0cefae61e538834a2d8fcffdfb101ed6.summary'],"Do APOE+ pre-osteoblasts regulate the expression of TNFRSF21 in fibroblasts, thereby modulating the pro-inflammatory response and osteogenic differentiation in periodontal tissues?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0b3d263c81fd58b48d55c4f6d57bdf11b410643c.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/8c5ff5091d5ce0b74b991e962e37f0226e6f3ca0.summary']",Do NF-κB target genes regulate the stochastic gene expression patterns that influence B cell fate decisions in germinal centers?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/4ecaffb2a4ab55ee35a0b9d905947bf4ec35e3df.summary'],Can retinal vessel loss be used to predict the efficacy of immunomodulatory therapies in multiple sclerosis patients by monitoring changes in retinal vasculature in response to treatment?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/ea1c1884aee06892ccf1cb75f7cef386b5bfedd7.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c74a4e4f69d1877c73cc0a126a3d6ddc2624e321.summary']",Can CXCR5+ NK cells and CAR/CXCR5-T cells synergistically enhance antiviral functionality and promote durable control of HIV infection when co-administered in a combinational immunotherapy approach?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/558bb3b23504b872c9c9efbf1a041c48afd48adf.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/02860c047c067b5f9de03be741a995d298c87c9b.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/697d8673889ee61c9d2504a8a84bd04fd68d5006.summary']","Does the cooperation between Ets1 and IL17RA in regulating autoimmune responses and skin immunity to Staphylococcus aureus also influence the development and function of memory T follicular helper cells, thereby impacting the recall response to staphylococcal infections?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/1390ec27fe9763ab53ef27300d53522b185b7c85.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/5ddfb426e71ca9bdaa4dc0e326eb6cf35f3cbdf8.summary']",Do Blimp1-expressing TFH cells with specific MHC haplotypes preferentially induce plasma cell differentiation in response to antigens presented by B cells with matching MHC haplotypes?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/034ad441e2ba6d35548285ebac28d052e9843c61.summary'],"Does the interaction between CD20 and cytoskeletal elements regulate the spatial organization of lipid rafts on the plasma membrane of resting human B cells, thereby influencing BCR signaling?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/116dbe384b031942527962c03b1d87faa0eb3554.summary'],"Does IRF4-mediated regulation of NFAT activity in EBV-infected B cells also influence the expression of epithelial-mesenchymal transition genes, thereby modulating the invasive potential of these cells?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/41af7f484680764c469bddc1333e91d570a37b6e.summary'],"Does tRF-3009 modulate the expression of antioxidant enzymes in CD4+ T lymphocytes, thereby influencing the balance between oxidative phosphorylation and oxidative stress in SLE pathogenesis?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/c58d4820206db1bd29c672f890b6dc032e4e1df4.summary'],Does the Src and Btk kinase intracellular signaling pathway triggered by ArtinM-induced CD45 N-glycan recognition on B cells also regulate the production of other pro-inflammatory cytokines beyond IL-17?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/8c4920c678725ff2e7af718d2f29cccf4f5711c5.summary'],Does the combination of IL-1 inhibitors with TNF-α blockers lead to a synergistic reduction in ocular inflammation and cytokine production in Behçet’s disease-related uveitis?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/280dcc8d479fe99238456dc114c31f42a0841d20.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/336d2d44ffede9d662e261fcebf621bb01f8245d.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/34fa9fb8acf4a71b36128093da6d68a08e02c8ba.summary']",Does the G396R variant of the mIgG-tail portion of human IgG1-BCR modulate the therapeutic effects of triptolide on B-cell activation and autoimmune responses in Systemic Lupus Erythematosus by regulating miR-146a expression and TLR7/NF-κB signaling pathway?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/b60db1285e0d2d3ba73bf835df269992c87b036d.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/766f3c7e71a1d77ff316a4ee43e0d3a62df3c2bf.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2e4390ac00fdf4d23e458b503da5673973587ec7.summary']","Does the synergistic activation of TLR7 and BCR signaling pathways in B cells lead to the production of specific cytokines that promote the development of autoimmune diseases, and can this process be modulated by IκBNS?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/060fc95c30dac9274aacdd98c56f8cdf724e2364.summary'],"Does the GARP-TGF-β axis on B cells also regulate the activity of regulatory T cells, thereby modulating the balance between immune tolerance and autoimmunity?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/43ba8fe32b6520c3489615ab36fb4451ef6b3e73.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0149c159dee324713572e0d8c2d9b1a92d20f542.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/4b81e2f14aab34190d1b9826a2f75689f113a56f.summary']","Does the Epstein-Barr virus protein BALF0/1 also target EBF-1 for degradation during lytic replication, thereby contributing to the attenuation of B cell receptor signalling in EBV-infected cells?"
